Offering,Pricing Date,Price,Symbol,Deal Type,Bookrunner
Academy Sports and Outdoors,2021-09-14,$44.75,ASO,ADD-ON,"Credit Suisse, BofA Merrill Lynch Credit Suisse"
Definitive Healthcare,2021-09-14,$27.00,DH,IPO,"Goldman Sachs, JP Morgan Credit Suisse"
On Holdings,2021-09-14,$24.00,ONON,IPO,"Goldman Sachs, Morgan Stanley, JP Morgan Credit Suisse"
Thoughtworks Holding,2021-09-14,$21.00,TWKS,IPO,"Goldman Sachs, JP Morgan Credit Suisse"
Maravai LifeSciences,2021-09-09,$50.00,MRVI,ADD-ON,"Morgan Stanley, Jefferies, Goldman Sachs Credit Suisse"
Certara,2021-09-08,$31.00,CERT,ADD-ON,"Jefferies, Morgan Stanley, BofA Merrill Lynch Credit Suisse"
Gates Industrial Corporation,2021-08-11,$16.00,GTES,ADD-ON,"Citigroup, Evercore ISI Credit Suisse"
KnowBe4,2021-08-11,$20.75,KNBE,ADD-ON,"Morgan Stanley, Goldman Sachs, BofA Merrill Lynch, KKR KKR"
Southern States Bancshares,2021-08-11,$19.00,SSBK,IPO,"Keefe Bruyette & Woods, Truist Securities Truist Securities"
Eliem Therapeutics,2021-08-09,$12.50,ELYM,IPO,"SVB Leerink, Evercore ISI, Stifel, Guggenheim Securities SVB Leerink"
Driven Brands Holdings,2021-08-04,$29.50,DRVN,ADD-ON,"Morgan Stanley, BofA Merrill Lynch, Goldman Sachs, JP Morgan, Barclays Credit Suisse"
European Wax Center,2021-08-04,$17.00,EWCZ,IPO,"Morgan Stanley, BofA Merrill Lynch, Jefferies, Citigroup, Guggenheim Securities, Truist Securities, Baird Truist Securities"
Weber,2021-08-04,$14.00,WEBR,IPO,"Goldman Sachs, BofA Merrill Lynch, JP Morgan, BMO Capital Markets, Citigroup, UBS, Wells Fargo, KeyBanc Capital Markets KeyBanc Capital Markets"
Traeger,2021-07-29,$18.00,COOK,IPO,"Morgan Stanley, Jeffries, Baird, William Blair Credit Suisse"
Icosavax,2021-07-28,$15.00,ICVX,IPO,"Jeffries, Cowen and Company, Evercore ISI, William Blair Jefferies"
Rallybio Corporation,2021-07-28,$13.00,RLYB,IPO,"Jeffries, Cowen and Company, Evercore ISI Jefferies"
Riskified,2021-07-28,$21.00,RSKD,IPO,"Goldman Sachs, JP Morgan, Credit Suisse Credit Suisse"
Independence Realty Trust,2021-07-27,$17.75,IRT,ADD-ON,"Barclays, BMO Capital Markets, Citigroup Truist Securities"
MeridianLink,2021-07-27,$26.00,MLNK,IPO,"BofA Merrill Lynch, Credit Suisse, Barclays Credit Suisse"
PowerSchool Holdings,2021-07-27,$18.00,PWSC,IPO,"Goldman Sachs, Barclays, Credit Suisse, UBS Credit Suisse"
Candel Therapeutics,2021-07-26,$8.00,CADL,IPO,"Jeffries, Credit Suisse, BMO Capital Markets, UBS Credit Suisse"
