Offering,Pricing Date,Price,Symbol,Deal Type,Bookrunner
Advanced Disposal Services,2017-05-17,$21.50,ADSW,ADD-ON,"UBS, Deutsche Bank, Morgan Stanley Credit Suisse"
Fogo De Chao,2017-05-11,$14.00,FOGO,ADD-ON,"Jefferies, JP Morgan, Credit Suisse, Piper Jaffray, RBC Capital Markets, Wells Fargo, Deutsche Bank, Macquarie Capital Credit Suisse"
Gardner Denver Holdings,2017-05-11,$20.00,GDI,IPO,"Goldman Sachs, Citigroup, UBS, KKR Credit Suisse"
Solaris Oilfield Infrastructure,2017-05-11,$12.00,SOI,IPO,"Credit Suisse, Goldman Sachs Credit Suisse"
US Foods Holding,2017-05-11,$28.25,USFD,ADD-ON,"Goldman Sachs, Morgan Stanley, JP Morgan Credit Suisse"
KKR Real Estate Finance Trust,2017-05-04,$20.50,KREF,IPO,"Wells Fargo, Morgan Stanley, KKR KKR"
Antero Midstream,2017-05-03,$23.50,AMGP,IPO,"Morgan Stanley, Barclays, JP Morgan Credit Suisse"
Milacron Holdings,2017-05-03,$17.20,MCRN,ADD-ON,"Credit Suisse, Barclays, Baird Credit Suisse"
Emerald Expositions Events,2017-04-27,$17.00,EEX,IPO,"BofA Merrill Lynch, Barclays, Goldman Sachs Credit Suisse"
China Rapid Finance,2017-04-27,$6.00,XRF,IPO,"Morgan Stanley, Credit Suisse, Jefferies Credit Suisse"
Zymeworks,2017-04-27,$13.00,ZYME,IPO,"Citigroup, Barclays, Wells Fargo Canaccord Genuity"
NCS Multistage Holdings,2017-04-27,$17.00,NCSM,IPO,"Credit Suisse, Citigroup, Wells Fargo Credit Suisse"
Verona Pharma,2017-04-26,$13.50,VRNA,IPO,"Jefferies, Stifel SunTrust Robinson Humphrey"
Floor & Decor Holdings,2017-04-26,$21.00,FND,IPO,"BofA Merrill Lynch, Barclays, Credit Suisse, UBS Credit Suisse"
Select Energy Services,2017-04-20,$14.00,WTTR,IPO,"Credit Suisse, FBR, Wells Fargo Credit Suisse"
Uniti Group,2017-04-19,$26.50,UNIT,ADD-ON,"Citigroup, JP Morgan, RBC Capital Markets, Barclays, BofA Merrill Lynch, Credit Suisse, Deutsche Bank, Goldman Sachs, Morgan Stanley Credit Suisse"
Warrior Met Coal,2017-04-12,$19.00,HCC,IPO,"Credit Suisse, Citigroup, Morgan Stanley Credit Suisse"
Hostess Brands,2017-04-12,$15.25,TWNK,ADD-ON,"Credit Suisse, Morgan Stanley Credit Suisse"
Banco Santander,2017-04-05,$8.09,BSBR,ADD-ON,"BofA Merrill Lynch, Credit Suisse, Santander Credit Suisse"
Everbridge,2017-04-05,$19.85,EVBG,ADD-ON,"Credit Suisse, BofA Merrill Lynch Credit Suisse"
Schneider National,2017-04-05,$19.00,SNDR,IPO,"Morgan Stanley, UBS Credit Suisse"
Athene Holding,2017-03-28,$48.50,ATH,ADD-ON,"Goldman Sachs, Barclays, Citigroup, Wells Fargo Credit Suisse"
Condor Hospitality Trust,2017-03-23,$10.50,CDOR,ADD-ON,"KeyBanc Capital Markets, Baird, Janney Montgomery Scott KeyBanc Capital Markets"
Cherry Hill Mortgage,2017-03-23,$16.50,CHMI,ADD-ON,"Morgan Stanley, Barclays, Citigroup, UBS UBS"
Bellicum Pharmaceuticals,2017-03-23,$12.00,BLCM,ADD-ON,"Citigroup, Jefferies Citigroup"
Keysight Technologies,2017-03-22,$35.00,KEYS,ADD-ON,"Goldman Sachs, BofA Merrill Lynch, Citigroup, BNP Paribas Credit Suisse"
LSC Communications,2017-03-22,$20.25,LKSD,ADD-ON,"Citigroup, BofA Merrill Lynch, JP Morgan, Wells Fargo Citigroup"
Valeritas Holdings,2017-03-22,$10.00,VLRX,ADD-ON,"Cowen and Company, Wedbush PacGrow Cowen and Company"
Tesla,2017-03-16,$262.00,TSLA,ADD-ON,"Goldman Sachs, Deutsche Bank, Citigroup, Morgan Stanley Credit Suisse"
ProPetro Holding,2017-03-16,$14.00,PUMP,IPO,"Goldman Sachs, Barclays Credit Suisse"
Canada Goose Holdings,2017-03-15,$12.78,GOOS,IPO,"CIBC, Credit Suisse, Goldman Sachs, RBC Capital Markets Credit Suisse"
Ardagh Group,2017-03-14,$19.00,ARD,IPO,"Citigroup, Deutsche Bank, Goldman Sachs Credit Suisse"
Presidio,2017-03-09,$14.00,PSDO,IPO,"JP Morgan, Citigroup Credit Suisse"
Cotiviti Holdings,2017-03-07,$36.00,COTV,ADD-ON,"Credit Suisse, Barclays Credit Suisse"
Snap,2017-03-01,$17.00,SNAP,IPO,"Morgan Stanley, Goldman Sachs, JP Morgan, Deutsche Bank Credit Suisse"
GMS,2017-02-22,$29.25,GMS,ADD-ON,"Barclays, Credit Suisse, RBC Capital Markets Credit Suisse"
Atkore International Group,2017-02-16,$25.00,ATKR,ADD-ON,"Credit Suisse, Deutsche Bank, JP Morgan, UBS Credit Suisse"
Clipper Realty,2017-02-09,$13.50,CLPR,IPO,"FBR, Raymond James FBR"
Ramaco Resources,2017-02-02,$13.50,METC,IPO,"Credit Suisse, Jefferies, BMO Capital Markets Credit Suisse"
Smart Sand,2017-02-01,$17.50,SND,ADD-ON,"Credit Suisse, Goldman Sachs Credit Suisse"
Taylor Morrison Home,2017-01-31,$19.00,TMHC,ADD-ON,"JP Morgan, Citigroup, Credit Suisse Credit Suisse"
Milacron Holdings,2017-01-31,$16.25,MCRN,ADD-ON,"BofA Merrill Lynch, Barclays, JP Morgan Credit Suisse"
Laureate Education,2017-01-31,$14.00,LAUR,IPO,"Credit Suisse, Morgan Stanley, Barclays Credit Suisse"
Invitation Homes,2017-01-31,$20.00,INVH,IPO,"Deutsche Bank, JP Morgan Credit Suisse"
First Hawaiian,2017-01-31,$32.00,FHB,ADD-ON,"Goldman Sachs, BofA Merrill Lynch, JP Morgan, BNP Paribas Credit Suisse"
New Residential Investments,2017-01-30,$15.00,NRZ,ADD-ON,"Citigroup, Barclays, BofA Merrill Lynch, Credit Suisse Credit Suisse"
Virtus Investment Partners,2017-01-26,$110.00,VRTS,ADD-ON,"Barclays, Morgan Stanley, JP Morgan, BofA Merrill Lynch Credit Suisse"
REV Group,2017-01-26,$22.00,REVG,IPO,"Goldman Sachs, Morgan Stanley, Baird Credit Suisse"
Jeld-Wen Holding,2017-01-26,$23.00,JELD,IPO,"Barclays, Citigroup, Credit Suisse, JP Morgan Credit Suisse"
Jagged Peak Energy,2017-01-26,$15.00,JAG,IPO,"Citigroup, Credit Suisse, JP Morgan Credit Suisse"
US Foods Holding,2017-01-25,$26.00,USFD,ADD-ON,"Goldman Sachs, Morgan Stanley, JP Morgan Credit Suisse"
ObsEva,2017-01-25,$15.00,OBSV,IPO,"Credit Suisse, Jefferies, Leerink Partners Credit Suisse"
AnaptysBio,2017-01-25,$15.00,ANAB,IPO,"Credit Suisse, Stifel Credit Suisse"
AdvancePierre Foods Holdings,2017-01-18,$27.00,APFH,ADD-ON,"Morgan Stanley, Credit Suisse, Barclays Credit Suisse"
OM Asset Management,2016-12-13,$14.25,OMAM,ADD-ON,"BofA Merrill Lynch, Morgan Stanley Credit Suisse"
Airgain,2016-12-08,$17.00,AIRG,ADD-ON,"Cowen and Company, William Blair, Northland Capital Markets Cowen and Company"
Athene Holding,2016-12-08,$40.00,ATH,IPO,"Goldman Sachs, Barclays, Citigroup, Wells Fargo Credit Suisse"
Atkore International,2016-12-07,$19.00,ATKR,ADD-ON,"Credit Suisse, Deutsche Bank, JP Morgan Credit Suisse"
Baozun,2016-12-07,$12.25,BZUN,ADD-ON,"Credit Suisse, Deutsche Bank, China Renaissance Credit Suisse"
Innovative Industrial Properties,2016-11-30,$20.00,IIPR,IPO,"Ladenburg Thalmann, Compass Point Ladenburg Thalmann"
ViaSat,2016-11-17,$69.74,VSAT,ADD-ON,"BofA Merrill Lynch, JP Morgan, Credit Suisse, Morgan Stanley Credit Suisse"
Veritiv,2016-11-17,$45.00,VRTV,ADD-ON,"BofA Merrill Lynch, SunTrust Robinson Humphrey, Wells Fargo SunTrust"
Smart Sand,2016-11-03,$11.00,SND,IPO,"Credit Suisse, Goldman Sachs Credit Suisse"
GDS Holdings,2016-11-01,$10.00,GDS,IPO,"Credit Suisse, JP Morgan Credit Suisse"
Acushnet Holdings,2016-10-27,$17.00,GOLF,IPO,"JP Morgan, Morgan Stanley Credit Suisse"
ZTO Express (Cayman),2016-10-26,$19.50,ZTO,IPO,"Morgan Stanley, Goldman Sachs Credit Suisse"
RA Pharmaceuticals,2016-10-25,$13.00,RARX,IPO,"Credit Suisse, Jefferies, BMO Capital Markets Credit Suisse"
Forterra,2016-10-19,$18.00,FRTA,IPO,"Goldman Sachs, Citigroup, Credit Suisse Credit Suisse"
Mammoth Energy Services,2016-10-13,$15.00,TUSK,IPO,"Credit Suisse, Barclays, Simmons Credit Suisse"
Extraction Oil & Gas,2016-10-11,$19.00,XOG,IPO,"Credit Suisse, Barclays, Goldman Sachs, Citigroup Credit Suisse"
Azure Power Global Limited,2016-10-11,$18.00,AZRE,IPO,"Barclays, Credit Suisse Credit Suisse"
Camping World Holdings,2016-10-06,$22.00,CWH,IPO,"Goldman Sachs, JP Morgan Credit Suisse"
Advanced Disposal Services,2016-10-05,$18.00,ADSW,IPO,"Deutsche Bank, Credit Suisse, Barclays Credit Suisse"
Independence Realty Trust,2016-09-29,$9.00,IRT,ADD-ON,Citigroup Citigroup
MedEquities Realty,2016-09-28,$12.00,MRT,IPO,FBR FBR
Fulgent Genetics,2016-09-28,$9.00,FLGT,IPO,"Credit Suisse, Piper Jaffray Credit Suisse"
MyoKardia,2016-09-27,$15.00,MYOK,ADD-ON,"Credit Suisse, Cowan and Company, BMO Capital Markets Credit Suisse"
Sarepta Therapeutics,2016-09-22,$59.75,SRPT,ADD-ON,"JP Morgan, Golman Sachs Credit Suisse"
AC Immune,2016-09-22,$11.00,ACIU,IPO,"Credit Suisse, Jefferies, Leerink Partners Credit Suisse"
Vimpelcom,2016-09-15,$3.50,VIP,ADD-ON,"Morgan Stanley, JP Morgan Credit Suisse"
Callidus Software,2016-09-15,$18.25,CALD,ADD-ON,"Piper Jaffray, Credit Suisse Credit Suisse"
Everbridge,2016-09-15,$12.00,EVBG,IPO,"Credit Suisse, BofA Merrill Lynch Credit Suisse"
Platform Specialty Products,2016-09-15,$8.25,PAH,ADD-ON,"Credit Suisse, Goldman Sachs, UBS Credit Suisse"
Proteostasis Therapeutics,2016-09-08,$13.00,PTI,ADD-ON,"Leerink Partners, RBC Capital Markets Leerink Partners"
Advanced Micro Devices,2016-09-08,$6.00,AMD,ADD-ON,"JP Morgan, Barclays, Credit Suisse Credit Suisse"
Shopify,2016-08-16,$38.25,SHOP,ADD-ON,"Morgan Stanley, Credit Suisse, RBC Capital Markets Credit Suisse"
Medpace Holdings,2016-08-10,$23.00,MEDP,IPO,"Jefferies, Credit Suisse Credit Suisse"
Cliffs Natural Resources,2016-08-10,$6.75,CLF,ADD-ON,"BofA Merrill Lynch, Credit Suisse, Goldman Sachs Credit Suisse"
Protagonist Therapeutics,2016-08-10,$12.00,PTGX,IPO,"Leerink Partners, Barclays, BMO Capital Markets Leerink Partners"
United States Steel Corporation,2016-08-09,$23.00,X,ADD-ON,"JP Morgan, Goldman Sachs Credit Suisse"
First Hawaiian,2016-08-03,$23.00,FHB,IPO,"Goldman Sachs, BofA Merrill Lynch, BNP Paribas Credit Suisse"
Viper Energy Partners,2016-07-26,$16.00,VNOM,ADD-ON,Credit Suisse Credit Suisse
Patheon N.V.,2016-07-20,$21.00,PTHN,IPO,"JP Morgan, Morgan Stanley, Jefferies, UBS Credit Suisse"
NCI Building Systems,2016-07-19,$16.15,NCS,ADD-ON,"Credit Suisse, Citigroup, RBC Capital Markets, UBS Credit Suisse"
Ryerson Holding Corporation,2016-07-19,$15.25,RYI,ADD-ON,"JP Morgan, Deutsche Bank, BMO Capital Markets, Goldman Sachs, Jefferies Credit Suisse"
AdvancePierre Foods Holdings,2016-07-13,$21.00,APFH,IPO,"Barclays, Credit Suisse, Morgan Stanley Credit Suisse"
Tesaro,2016-06-30,$81.00,TSRO,ADD-ON,"Citigroup, Leerink Partners Credit Suisse"
Syros Pharmaceuticals,2016-06-29,$12.50,SYRS,IPO,"Cowen and Company, Piper Jaffray Cowen and Company"
Planet Fitness,2016-06-22,$16.50,PLNT,ADD-ON,"JP Morgan, BofA Merrill Lynch, Jefferies, Guggenheim Securities Credit Suisse"
Viveve Medical,2016-06-13,$5.00,VIVE,IPO,"Ladenburg Thalmann, Craig-Hallum Capital Group Ladenburg Thalmann"
Atkore International,2016-06-09,$16.00,ATKR,IPO,"Credit Suisse, Deutsche Bank, JP Morgan Credit Suisse"
China Online Education,2016-06-09,$19.00,COE,IPO,"Morgan Stanley, Credit Suisse Credit Suisse"
Ollie's Bargain Outlet Holdings,2016-06-06,$25.00,OLLI,ADD-ON,"JP Morgan, Jefferies, BofA Merrill Lynch Credit Suisse"
Multi Packaging Solutions International,2016-06-02,$14.50,MPSX,ADD-ON,"BofA Merrill Lynch, Barclays, Citigroup Credit Suisse"
Clearside Biomedical,2016-06-01,$7.00,CLSD,IPO,"Cowen and Company, Stifel Cowen and Company"
US Foods,2016-05-25,$23.00,USFD,IPO,"Goldman Sachs, Morgan Stanley, JP Morgan Credit Suisse"
Cotiviti Holdings,2016-05-25,$19.00,COTV,IPO,"Goldman Sachs, JP Morgan Credit Suisse"
GMS,2016-05-25,$21.00,GMS,IPO,"Barclays, Credit Suisse Credit Suisse"
Amplify Snack Brands,2016-05-19,$11.25,BETR,ADD-ON,"Goldman Sachs, Jefferies, Credit Suisse, SunTrust Robinson Humphrey Credit Suisse"
Sovran Self Storage,2016-05-19,$100.00,SSS,ADD-ON,"Wells Fargo, Citigroup, SunTrust Robinson Humphrey SunTrust"
BMC Stock Holdings,2016-05-18,$17.00,STCK,ADD-ON,"Barclays, Credit Suisse Credit Suisse"
Performance Food Group,2016-05-18,$24.25,PFGC,ADD-ON,"Credit Suisse, Barclays Credit Suisse"
Digital Realty Trust,2016-05-16,$96.00,DLR,ADD-ON,"BofA Merrill Lynch, Citigroup, JP Morgan Credit Suisse"
Turning Point Brands,2016-05-10,$10.00,TPB,IPO,"Cowen and Company, FBR Cowen and Company"
Intellia Therapeutics,2016-05-05,$18.00,NTLA,IPO,"Credit Suisse, Jefferies, Leerink Partners Credit Suisse"
Synergy Resources Corporation,2016-05-04,$5.80,SYRG,ADD-ON,Credit Suisse Credit Suisse
Red Rock Resorts,2016-04-26,$19.50,RRR,IPO,"Deutsche Bank, JP Morgan, BofA Merrill Lynch, Goldman Sachs Credit Suisse"
SecureWorks,2016-04-21,$14.00,SCWX,IPO,"BofA Merrill Lynch, Morgan Stanley, Goldman Sachs, JP Morgan Credit Suisse"
American Renal Associates Holdings,2016-04-20,$22.00,ARA,IPO,"BofA Merrill Lynch, Barclays, Goldman Sachs, Wells Fargo, SunTrust Robinson Humphrey SunTrust"
Bats Global Markets,2016-04-14,$19.00,BATS,IPO,"Morgan Stanley, Citigroup Credit Suisse"
Sportsman's Warehouse Holdings,2016-04-12,$11.25,SPWH,ADD-ON,"Credit Suisse, Goldman Sachs Credit Suisse"
Mercury Systems,2016-04-07,$19.00,MRCY,ADD-ON,"Citigroup, BofA Merrill Lynch, KeyBanc Capital Markets Citigroup"
Community Healthcare Trust,2016-04-06,$17.75,CHCT,ADD-ON,"Sandler O'Neill + Partners, Evercore, SunTrust Robinson Humphrey, BB&T Capital Markets, Janney Montgomery Scott, Oppenheimer & Co SunTrust"
Gaming and Leisure Properties,2016-03-31,$30.00,GLPI,ADD-ON,"BofA Merrill Lynch, JP Morgan, Wells Fargo SunTrust"
City Office,2016-03-30,$11.40,CIO,ADD-ON,Deutsche Bank Deutsche Bank
Corvus Pharmaceuticals,2016-03-22,$15.00,CRVS,IPO,"Credit Suisse, Cowen & Company, Guggenheim Securities Credit Suisse"
Senseonics Holdings,2016-03-17,$2.85,SENS,IPO,"Leerink Partners, Canaccord Genuity Leerink Partners"
Baxalta,2016-03-16,$37.75,BXLT,ADD-ON,"JP Morgan, BofA Merrill Lynch, Credit Suisse, UBS Credit Suisse"
TransUnion,2016-03-08,$25.00,TRU,ADD-ON,"Goldman Sachs, JP Morgan, BofA Merrill Lynch, Deutsche Bank Credit Suisse"
Duke Energy,2016-03-01,$72.00,DUK,ADD-ON,"Barclays, BofA Merrill Lynch, Citigroup, JP Morgan, Wells Fargo Credit Suisse"
Ollie's Bargain Outlet Holdings,2016-02-18,$19.75,OLLI,ADD-ON,"JP Morgan, Jefferies, BofA Merrill Lynch Credit Suisse"
Hortonworks,2016-02-01,$9.50,HDP,ADD-ON,"Goldman Sachs, Credit Suisse, RBC Capital Markets Credit Suisse"
TreeHouse Foods,2016-01-20,$65.00,THS,ADD-ON,"BofA Merrill Lynch, JP Morgan, Wells Fargo, BMO Capital Markets, SunTrust Robinson Humphrey Credit Suisse"
Adamas Pharmaceuticals,2016-01-06,$23.00,ADMS,ADD-ON,"Cowen and Company, Piper Jaffray Cowen and Company"
